Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,730,1,Mar 30,NYY,,SFG,W5-0,CG,4,4,1,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.500,.500,1.250,1.750,2,.54,0.079,.50,0.04%,1.59,19.00,25.20,CF RF
2,731,2,Apr 1,NYY,,SFG,L5-7,CG,5,5,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.556,.556,.889,1.444,2,1.42,0.170,1.31,0.09%,1.57,13.00,15.70,CF
3,732,3,Apr 2,NYY,,SFG,W6-0,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.462,.462,.923,1.385,2,.63,0.074,.55,0.04%,-0.07,14.00,18.70,RF
4,733,4,Apr 3,NYY,,PHI,W8-1,GS-8,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.412,.444,.765,1.209,2,.45,0.002,.41,0.00%,0.09,7.00,9.20,CF
5,734,5,Apr 4,NYY,,PHI,L1-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.350,.409,.650,1.059,2,.65,-0.025,.60,-0.01%,-0.26,2.00,3.00,DH
6,735,6,Apr 5,NYY,,PHI,W4-2,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.348,.423,.609,1.032,2,.62,-0.012,.55,-0.01%,0.01,12.00,15.20,CF
7,736,7,Apr 7,NYY,@,BAL,L6-7,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.296,.387,.519,.906,2,1.90,-0.033,1.98,-0.02%,-0.77,7.00,9.00,CF RF
8,737,8,Apr 8,NYY,@,BAL,W4-1,CG,4,2,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,.310,.400,.552,.952,2,.57,0.018,.58,0.01%,0.22,9.00,12.50,CF
9,738,9,Apr 9,NYY,@,BAL,W5-3,CG,4,4,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.364,.436,.758,1.193,2,.42,0.194,.44,0.12%,2.16,33.00,43.60,CF
10,739,10,Apr 10,NYY,@,CLE,L2-3,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.333,.419,.694,1.113,2,1.32,-0.120,1.33,-0.07%,-0.53,4.00,6.20,CF
