Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1383,31 (30),May 2,PHI,@,LAD,L1-13,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,3,.56,-0.061,.54,-0.04%,-0.87,0.00,0.00,DH
2,1384,32,May 3,PHI,@,LAD,L6-10,CG,5,3,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.429,.556,.571,1.127,3,.84,0.139,.79,0.08%,1.46,19.00,24.40,DH
3,1385,33,May 5,PHI,,BOS,L3-5,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.364,.462,.455,.916,3,1.08,-0.032,.87,-0.02%,-0.17,5.00,6.20,DH
4,1386,34,May 6,PHI,,BOS,L4-7,CG,5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.375,.444,.625,1.069,3,.71,0.035,.55,0.02%,0.36,17.00,21.70,DH
5,1387,35,May 7,PHI,,BOS,W6-1,CG,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.368,.455,.579,1.033,3,.82,0.088,.59,0.04%,0.70,9.00,12.40,DH
6,1388,36,May 9,PHI,,TOR,W8-4,CG,5,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.304,.407,.478,.886,3,.62,-0.004,.46,0.00%,-0.83,4.00,6.20,DH
7,1389,37,May 10,PHI,,TOR,W2-1,CG(10),5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.321,.406,.464,.871,3,2.27,0.349,1.88,0.17%,0.25,8.00,9.20,DH
8,1390,38,May 12,PHI,@,COL,W6-3,CG,4,4,1,2,1,0,0,2,0,0,2,0,0,0,0,0,1,0,.344,.417,.500,.917,3,1.30,0.439,1.18,0.24%,2.67,19.00,25.20,DH
9,1391,39,May 13,PHI,@,COL,W7-4,CG,5,4,2,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,.361,.439,.611,1.050,3,1.00,0.077,.98,0.05%,1.40,25.00,34.40,DH
10,1392,40,May 14,PHI,@,COL,L0-4,GS-8,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.409,.564,.973,3,1.31,-0.088,1.33,-0.05%,-1.02,0.00,0.00,DH
11,1393,41,May 15,PHI,@,SFG,L3-6,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.326,.396,.535,.931,3,.91,-0.044,.92,-0.03%,-0.42,5.00,6.20,DH
12,1394,42,May 16,PHI,@,SFG,L3-4,CG,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.319,.396,.511,.907,3,1.53,-0.134,1.45,-0.08%,-1.42,5.00,6.00,DH
13,1395,43,May 17,PHI,@,SFG,L4-7,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.314,.386,.490,.876,3,1.32,-0.056,1.23,-0.03%,-0.01,10.00,12.20,DH
14,1396,44,May 19,PHI,,CHC,L1-10,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.309,.377,.491,.868,3,.59,0.048,.50,0.02%,0.28,5.00,6.00,DH
15,1397,45,May 20,PHI,,CHC,W12-3,CG,5,3,1,2,1,0,0,1,2,0,0,0,0,0,0,1,0,0,.328,.409,.517,.926,3,.39,0.074,.31,0.04%,1.82,16.00,21.70,DH
16,1398,46,May 21,PHI,,CHC,W2-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.306,.386,.484,.870,3,.81,-0.194,.71,-0.10%,-1.63,0.00,0.00,DH
17,1399,47,May 22,PHI,,ARI,L3-6,CG,4,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.313,.405,.484,.890,3,1.75,0.072,1.56,0.04%,0.45,7.00,9.00,DH
18,1400,48,May 23,PHI,,ARI,L3-4,CG,4,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,.328,.423,.507,.931,3,1.18,0.118,.97,0.06%,0.46,12.00,15.20,DH
19,1401,49,May 24,PHI,,ARI,W6-5,CG(10),5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.324,.422,.493,.915,3,.97,-0.024,.78,-0.01%,-0.08,7.00,9.20,DH
20,1402,50,May 25,PHI,@,ATL,L5-8,CG,4,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.347,.437,.547,.983,3,.79,0.146,.73,0.08%,1.01,22.00,27.90,DH
21,1403,51,May 26,PHI,@,ATL,W6-4,CG,5,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.333,.424,.526,.950,3,1.14,-0.035,1.00,-0.02%,-0.91,4.00,6.50,DH
22,1404,52,May 27,PHI,@,ATL,W2-1,CG,5,3,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,.321,.423,.506,.929,3,.90,-0.006,.82,0.00%,-0.13,4.00,6.00,DH
23,1405,53,May 28,PHI,@,ATL,L4-11,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.406,.482,.888,3,.25,-0.028,.26,-0.02%,-0.69,0.00,0.00,DH
24,1406,55 (1),May 31,PHI,@,NYM,L1-4,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.315,.410,.483,.893,3,.78,-0.018,.66,-0.01%,-0.21,6.00,6.00,DH
25,1407,56,Jun 1,PHI,@,NYM,L2-4,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.304,.404,.467,.871,3,1.16,-0.054,.89,-0.03%,-0.26,9.00,12.20,DH
26,1408,57,Jun 2,PHI,@,WSN,L7-8,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.292,.395,.448,.843,3,1.51,-0.082,.96,-0.03%,-0.91,2.00,3.00,DH
27,1409,58,Jun 3,PHI,@,WSN,W4-2,CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,.300,.398,.460,.858,3,1.13,-0.012,.70,-0.01%,-0.26,10.00,12.20,DH
28,1410,59,Jun 4,PHI,@,WSN,W11-3,CG,6,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.298,.403,.462,.865,3,.51,-0.009,.36,0.00%,-0.46,9.00,12.00,DH
29,1411,60,Jun 5,PHI,,DET,W8-3,CG,5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.303,.403,.459,.862,3,.71,-0.045,.51,-0.02%,-0.57,10.00,12.70,DH
30,1412,61,Jun 6,PHI,,DET,W1-0,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.295,.394,.446,.840,3,1.02,-0.079,.78,-0.04%,-0.86,0.00,0.00,DH
31,1413,62,Jun 8,PHI,,DET,W3-2,CG,4,3,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,.296,.390,.452,.842,3,2.05,0.212,1.60,0.10%,-0.05,9.00,12.70,DH
32,1414,63,Jun 9,PHI,,LAD,W5-4,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.294,.386,.445,.831,3,1.06,-0.013,.97,-0.01%,-0.31,5.00,6.50,DH
33,1415,64,Jun 10,PHI,,LAD,L0-9,GS-9,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.287,.382,.434,.816,3,.63,-0.040,.60,-0.02%,-0.55,2.00,3.00,DH
34,1416,65,Jun 11,PHI,,LAD,W7-3,CG,4,2,1,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,.298,.399,.444,.842,4,.79,0.090,.68,0.05%,1.48,19.00,24.70,DH
35,1417,66,Jun 12,PHI,@,ARI,L8-9,CG,5,5,1,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,.295,.392,.442,.834,4,1.39,-0.122,1.30,-0.07%,-0.25,9.00,12.70,DH
36,1418,67,Jun 13,PHI,@,ARI,W15-3,CG,6,5,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,.299,.396,.440,.837,4,.32,0.007,.28,0.00%,1.75,19.00,25.20,DH
37,1419,68,Jun 14,PHI,@,ARI,W4-3,CG(10),5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.290,.390,.428,.818,4,1.36,-0.110,1.32,-0.06%,-1.00,2.00,3.00,DH
38,1420,69,Jun 15,PHI,@,ARI,W5-4,CG,5,4,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,.289,.391,.423,.813,4,1.40,0.018,1.40,0.01%,0.11,7.00,9.50,DH
39,1421,70,Jun 16,PHI,@,OAK,W6-1,CG,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.393,.425,.818,4,.40,0.021,.39,0.01%,0.97,10.00,12.40,DH
40,1422,71,Jun 17,PHI,@,OAK,W3-2,CG(12),6,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.296,.391,.421,.812,4,1.95,-0.154,1.99,-0.10%,-1.03,6.00,6.00,DH
41,1423,73 (1),Jun 20,PHI,,ATL,L2-4,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.301,.393,.423,.817,4,1.22,-0.016,1.46,-0.01%,-0.15,6.00,6.00,DH
42,1424,74,Jun 22,PHI,,ATL,L1-5,CG(10),4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.296,.390,.415,.805,4,1.21,-0.086,1.42,-0.06%,-0.59,2.00,3.00,DH
43,1425,75,Jun 23,PHI,,NYM,W5-1,CG,4,3,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.296,.393,.414,.806,4,.80,0.077,.76,0.04%,0.65,7.00,9.50,DH
44,1426,76,Jun 24,PHI,,NYM,L2-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.291,.390,.406,.796,4,1.93,-0.138,1.91,-0.08%,-0.86,2.00,3.00,DH
45,1427,77,Jun 25,PHI,,NYM,W7-6,CG,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.286,.390,.399,.789,4,1.38,-0.041,1.31,-0.02%,-0.70,6.00,9.20,DH
46,1428,78,Jun 27,PHI,@,CHC,W5-1,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.279,.382,.390,.772,4,.36,-0.038,.35,-0.02%,-1.00,0.00,0.00,DH
47,1429,79,Jun 28,PHI,@,CHC,W8-5,CG,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.278,.383,.386,.769,4,.30,0.040,.30,0.02%,0.71,7.00,9.50,DH
48,1430,80,Jun 29,PHI,@,CHC,W3-1,CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.278,.380,.383,.764,4,1.06,0.100,1.04,0.06%,0.59,7.00,10.00,DH
49,1431,81,Jun 30,PHI,,WSN,L1-2,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.283,.382,.386,.768,4,1.37,-0.052,1.37,-0.03%,-0.51,6.00,6.00,DH
