Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,889,1,Mar 30,MIN,@,KCR,W2-0,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,2,.98,-0.097,.99,-0.06%,-1.00,3.00,3.00,SS
2,890,2,Apr 1,MIN,@,KCR,W2-0,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.125,.222,.125,.347,2,.66,-0.031,.70,-0.02%,-0.38,2.00,3.00,SS
3,891,3,Apr 2,MIN,@,KCR,W7-4,CG,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.154,.214,.154,.368,2,.87,-0.104,.93,-0.07%,-1.02,5.00,6.20,SS
4,892,4,Apr 3,MIN,@,MIA,W11-1,GS-7,4,4,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.235,.278,.294,.572,2,.40,-0.008,.39,-0.01%,1.38,14.00,19.20,SS
5,893,5,Apr 4,MIN,@,MIA,L0-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.238,.273,.286,.558,2,1.24,0.008,1.32,0.01%,-0.32,3.00,3.00,SS
6,894,6,Apr 5,MIN,@,MIA,L2-5,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.208,.269,.250,.519,2,1.43,-0.078,1.46,-0.05%,-0.60,2.00,3.00,SS
7,895,7,Apr 7,MIN,,HOU,W3-2,CG(10),5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,.172,.226,.207,.433,2,2.27,-0.444,2.42,-0.29%,-2.44,0.00,0.00,SS
8,896,8,Apr 8,MIN,,HOU,W9-6,CG,5,4,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.182,.250,.242,.492,2,.47,-0.030,.52,-0.02%,-0.01,7.00,9.00,SS
9,897,13 (4),Apr 13,MIN,@,NYY,W11-2,GS-8,4,3,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.222,.300,.361,.661,2,.38,0.069,.42,0.05%,1.66,21.00,27.90,SS
10,898,14,Apr 14,MIN,@,NYY,W4-3,CG,4,4,1,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,.250,.318,.475,.793,2,1.68,0.409,1.97,0.29%,2.21,23.00,31.70,SS
11,899,15,Apr 15,MIN,@,NYY,L1-6,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.227,.292,.432,.723,2,.68,-0.076,.79,-0.05%,-1.20,0.00,0.00,SS
12,900,16,Apr 16,MIN,@,NYY,L0-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.269,.396,.665,2,.94,-0.102,1.10,-0.07%,-0.78,0.00,0.00,SS
13,901,17,Apr 18,MIN,@,BOS,L4-5,CG(10),5,2,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,.220,.298,.400,.698,2,1.93,0.168,2.18,0.11%,0.96,9.00,12.50,SS
14,902,18,Apr 19,MIN,@,BOS,W10-4,GS-9,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.274,.364,.638,2,.56,-0.070,.64,-0.05%,-1.52,0.00,0.00,SS
15,903,19,Apr 20,MIN,@,BOS,L5-11,GS-6,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.207,.277,.362,.639,2,.39,-0.014,.44,-0.01%,-0.12,3.00,3.00,SS
16,904,20,Apr 21,MIN,,WSN,L2-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.194,.261,.339,.600,2,.65,-0.067,.72,-0.04%,-0.55,0.00,0.00,SS
17,905,21,Apr 22,MIN,,WSN,L4-10,CG,5,4,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.227,.297,.364,.661,3,.59,0.095,.62,0.06%,1.67,13.00,15.50,SS
18,906,22,Apr 23,MIN,,WSN,W3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.282,.343,.625,2,.92,-0.090,.94,-0.06%,-1.02,0.00,0.00,SS
19,907,23,Apr 24,MIN,,NYY,W6-1,CG,5,5,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,.213,.277,.360,.637,2,.72,-0.109,.81,-0.07%,-0.86,10.00,12.50,SS
