Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,1725,1,Mar 30,LAD,,ARI,W8-2,CG,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.500,.600,.500,1.100,2,.82,-0.020,.81,-0.01%,0.20,10.00,12.20,1B
2,1726,2,Mar 31,LAD,,ARI,L1-2,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.300,.222,.522,2,1.82,-0.219,1.88,-0.14%,-1.28,0.00,0.00,1B
3,1727,3,Apr 1,LAD,,ARI,W10-1,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.250,.357,.250,.607,2,.37,0.049,.37,0.03%,0.32,7.00,9.20,1B
4,1728,4,Apr 2,LAD,,ARI,L1-2,CG,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.444,.333,.778,2,1.16,0.104,1.22,0.07%,0.83,8.00,9.00,1B
5,1729,5,Apr 3,LAD,,COL,W13-4,CG,5,4,2,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,.421,.522,.474,.995,2,.44,0.003,.44,0.00%,0.34,17.00,21.40,1B
6,1730,6,Apr 4,LAD,,COL,W5-2,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.381,.519,.429,.947,2,.49,-0.034,.52,-0.02%,0.22,4.00,6.00,1B
7,1731,7,Apr 6,LAD,@,ARI,W5-2,CG,5,5,2,2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,.385,.500,.577,1.077,2,.53,0.039,.57,0.03%,-0.11,21.00,27.90,1B
8,1732,8,Apr 7,LAD,@,ARI,L3-6,CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.367,.486,.533,1.020,2,.63,-0.022,.74,-0.02%,-0.17,5.00,6.00,1B
9,1733,9,Apr 8,LAD,@,ARI,L8-12,CG,5,5,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.429,.524,.629,1.152,2,1.41,0.095,1.57,0.06%,1.46,22.00,27.90,1B
10,1734,10,Apr 9,LAD,@,ARI,L6-11,GS-6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.421,.511,.605,1.116,2,1.09,0.022,1.19,0.01%,0.01,5.00,6.20,1B
11,1735,11,Apr 10,LAD,@,SFG,W9-1,CG,5,5,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.395,.480,.558,1.038,2,.48,0.038,.51,0.02%,0.36,7.00,9.40,1B
12,1736,12,Apr 11,LAD,@,SFG,L0-5,CG,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.354,.436,.500,.936,2,1.38,-0.140,1.45,-0.09%,-1.46,0.00,0.00,1B
13,1737,13,Apr 12,LAD,@,SFG,W10-5,CG,5,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.333,.433,.471,.904,2,1.28,0.031,1.36,0.02%,0.39,8.00,12.70,1B
14,1738,14,Apr 14,LAD,,CHC,L2-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.309,.406,.436,.843,2,.55,-0.056,.56,-0.04%,-0.72,0.00,0.00,1B
15,1739,15,Apr 15,LAD,,CHC,W2-1,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.310,.412,.431,.843,2,1.05,0.002,1.07,0.00%,-0.03,5.00,6.00,1B
16,1740,16,Apr 16,LAD,,CHC,L2-3,CG,5,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.302,.397,.413,.810,2,2.32,-0.264,2.47,-0.17%,-1.30,3.00,3.00,1B
17,1741,17,Apr 17,LAD,,NYM,L6-8,CG,4,4,2,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,.328,.416,.522,.938,2,1.08,0.411,1.08,0.25%,3.01,33.00,43.90,1B
18,1742,18,Apr 18,LAD,,NYM,W5-0,CG,5,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.324,.402,.507,.909,2,.48,-0.012,.47,-0.01%,-0.43,7.00,9.70,1B
19,1743,19,Apr 19,LAD,,NYM,L3-5,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.311,.395,.486,.882,2,1.28,0.007,1.25,0.00%,-0.24,4.00,6.20,1B
20,1744,20,Apr 20,LAD,@,CHC,W6-2,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.295,.385,.462,.846,2,.95,0.025,.86,0.01%,-0.38,7.00,9.00,1B
21,1745,21,Apr 21,LAD,@,CHC,L0-13,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.376,.450,.826,2,.49,-0.025,.46,-0.01%,-0.35,0.00,0.00,1B
22,1746,22,Apr 22,LAD,@,CHC,W9-4,CG,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.378,.459,.836,2,.83,0.071,.78,0.04%,0.78,10.00,12.20,1B
23,1747,23,Apr 23,LAD,@,CHC,W7-3,CG,5,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.281,.369,.438,.807,2,.71,0.002,.70,0.00%,-0.55,4.00,6.20,1B
24,1748,24,Apr 25,LAD,@,PIT,W8-7,CG,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.280,.370,.430,.800,2,.84,-0.020,.89,-0.01%,0.49,9.00,12.70,1B
25,1749,25,Apr 26,LAD,@,PIT,L1-8,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.289,.375,.464,.839,2,.84,0.011,.93,0.01%,0.98,17.00,21.70,1B
26,1750,26,Apr 27,LAD,@,PIT,L2-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.287,.371,.455,.826,2,1.03,-0.053,1.10,-0.03%,-0.58,3.00,3.00,1B
27,1751,27,Apr 28,LAD,,STL,W7-3,CG,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.380,.472,.852,2,.59,0.055,.58,0.03%,0.54,13.00,15.20,1B
28,1752,28,Apr 29,LAD,,STL,W1-0,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,.294,.376,.459,.835,2,.82,-0.022,.82,-0.01%,-0.10,12.00,15.00,1B
